,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,cr,0.9875,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,bw,0.96875,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_M12,cr,0.9890625,Debenedetti2022Light_XCiT_M12,
3,Debenedetti2022Light_XCiT_M12,bw,0.9734375,Debenedetti2022Light_XCiT_M12,
4,Debenedetti2022Light_XCiT_L12,cr,0.996875,Debenedetti2022Light_XCiT_L12,
5,Debenedetti2022Light_XCiT_L12,bw,0.98125,Debenedetti2022Light_XCiT_L12,
6,xcit_small_12_p16_224,cr,0.99375,xcit_small_12_p16_224,
7,xcit_small_12_p16_224,bw,0.9890625,xcit_small_12_p16_224,
8,resnet18_l2_eps0,cr,0.971875,resnet18_l2_eps0,
9,resnet18_l2_eps0,bw,0.9546875,resnet18_l2_eps0,
10,resnet18_l2_eps0_01,cr,0.96875,resnet18_l2_eps0_01,
11,resnet18_l2_eps0_01,bw,0.9546875,resnet18_l2_eps0_01,
12,resnet18_l2_eps0_03,cr,0.971875,resnet18_l2_eps0_03,
13,resnet18_l2_eps0_03,bw,0.953125,resnet18_l2_eps0_03,
14,resnet18_l2_eps0_05,cr,0.971875,resnet18_l2_eps0_05,
15,resnet18_l2_eps0_05,bw,0.9515625,resnet18_l2_eps0_05,
16,resnet18_l2_eps0_1,cr,0.9765625,resnet18_l2_eps0_1,
17,resnet18_l2_eps0_1,bw,0.946875,resnet18_l2_eps0_1,
18,resnet18_l2_eps0_25,cr,0.9765625,resnet18_l2_eps0_25,
19,resnet18_l2_eps0_25,bw,0.9546875,resnet18_l2_eps0_25,
20,resnet18_l2_eps0_5,cr,0.9609375,resnet18_l2_eps0_5,
21,resnet18_l2_eps0_5,bw,0.928125,resnet18_l2_eps0_5,
22,resnet18_l2_eps1,cr,0.95,resnet18_l2_eps1,
23,resnet18_l2_eps1,bw,0.90625,resnet18_l2_eps1,
24,resnet18_l2_eps3,cr,0.90625,resnet18_l2_eps3,
25,resnet18_l2_eps3,bw,0.8625,resnet18_l2_eps3,
26,resnet18_l2_eps5,cr,0.884375,resnet18_l2_eps5,
27,resnet18_l2_eps5,bw,0.8,resnet18_l2_eps5,
28,resnet50_l2_eps0,cr,0.984375,resnet50_l2_eps0,
29,resnet50_l2_eps0,bw,0.971875,resnet50_l2_eps0,
30,resnet50_l2_eps0_01,cr,0.9875,resnet50_l2_eps0_01,
31,resnet50_l2_eps0_01,bw,0.9765625,resnet50_l2_eps0_01,
32,resnet50_l2_eps0_03,cr,0.9890625,resnet50_l2_eps0_03,
33,resnet50_l2_eps0_03,bw,0.9765625,resnet50_l2_eps0_03,
34,resnet50_l2_eps0_05,cr,0.9890625,resnet50_l2_eps0_05,
35,resnet50_l2_eps0_05,bw,0.9734375,resnet50_l2_eps0_05,
36,resnet50_l2_eps0_1,cr,0.9859375,resnet50_l2_eps0_1,
37,resnet50_l2_eps0_1,bw,0.965625,resnet50_l2_eps0_1,
38,resnet50_l2_eps0_25,cr,0.9890625,resnet50_l2_eps0_25,
39,resnet50_l2_eps0_25,bw,0.9734375,resnet50_l2_eps0_25,
40,resnet50_l2_eps0_5,cr,0.984375,resnet50_l2_eps0_5,
41,resnet50_l2_eps0_5,bw,0.9765625,resnet50_l2_eps0_5,
42,resnet50_l2_eps1,cr,0.9796875,resnet50_l2_eps1,
43,resnet50_l2_eps1,bw,0.959375,resnet50_l2_eps1,
44,resnet50_l2_eps3,cr,0.9625,resnet50_l2_eps3,
45,resnet50_l2_eps3,bw,0.928125,resnet50_l2_eps3,
46,resnet50_l2_eps5,cr,0.9328125,resnet50_l2_eps5,
47,resnet50_l2_eps5,bw,0.8625,resnet50_l2_eps5,
48,wide_resnet50_2_l2_eps0,cr,0.990625,wide_resnet50_2_l2_eps0,
49,wide_resnet50_2_l2_eps0,bw,0.9828125,wide_resnet50_2_l2_eps0,
50,wide_resnet50_2_l2_eps0_01,cr,0.9953125,wide_resnet50_2_l2_eps0_01,
51,wide_resnet50_2_l2_eps0_01,bw,0.9859375,wide_resnet50_2_l2_eps0_01,
52,wide_resnet50_2_l2_eps0_03,cr,0.9953125,wide_resnet50_2_l2_eps0_03,
53,wide_resnet50_2_l2_eps0_03,bw,0.98125,wide_resnet50_2_l2_eps0_03,
54,wide_resnet50_2_l2_eps0_05,cr,0.9953125,wide_resnet50_2_l2_eps0_05,
55,wide_resnet50_2_l2_eps0_05,bw,0.9828125,wide_resnet50_2_l2_eps0_05,
56,wide_resnet50_2_l2_eps0_1,cr,0.9953125,wide_resnet50_2_l2_eps0_1,
57,wide_resnet50_2_l2_eps0_1,bw,0.9765625,wide_resnet50_2_l2_eps0_1,
