,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,cr,0.1471401167815065,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,cr,0.16171751217234048,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,cr,0.02761433980937921,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,cr,0.028275886083115216,xcit_small_12_p16_224,
4,resnet18_l2_eps0,cr,0.3203800032909506,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,cr,0.2804559786656975,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,cr,0.2367655082533467,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,cr,0.25757491640800373,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,cr,0.20964545648552493,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,cr,0.24576378829572776,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,cr,0.30477672393384864,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,cr,0.2957758321740593,resnet18_l2_eps1,
12,resnet18_l2_eps3,cr,0.2925767117529816,resnet18_l2_eps3,
13,resnet18_l2_eps5,cr,0.23860564919279087,resnet18_l2_eps5,
14,resnet50_l2_eps0,cr,0.16829121741192546,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,cr,0.15680812119308235,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,cr,0.13751987882195327,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,cr,0.13023357252385218,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,cr,0.1972821354466317,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,cr,0.15189053313865092,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,cr,0.21447518795904322,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,cr,0.21979991354826184,resnet50_l2_eps1,
22,resnet50_l2_eps3,cr,0.31616101897623206,resnet50_l2_eps3,
23,resnet50_l2_eps5,cr,0.30612338390012517,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,cr,0.07105262947516179,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,cr,0.09068363157244536,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,cr,0.057458397445322905,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,cr,0.09068363157244536,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,cr,0.057458397445322905,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,cr,0.06130608999494922,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,cr,0.057458397445322905,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,cr,0.1248646457796604,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,cr,0.19979316269980368,wide_resnet50_2_l2_eps3,
