,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,c100,0.9625,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,c50,0.9625,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_S12,c30,0.875,Debenedetti2022Light_XCiT_S12,
3,Debenedetti2022Light_XCiT_S12,c15,0.3375,Debenedetti2022Light_XCiT_S12,
4,Debenedetti2022Light_XCiT_S12,c10,0.14375,Debenedetti2022Light_XCiT_S12,
5,Debenedetti2022Light_XCiT_S12,c05,0.0625,Debenedetti2022Light_XCiT_S12,
6,Debenedetti2022Light_XCiT_S12,c03,0.0625,Debenedetti2022Light_XCiT_S12,
7,Debenedetti2022Light_XCiT_S12,c01,0.0625,Debenedetti2022Light_XCiT_S12,
8,Debenedetti2022Light_XCiT_M12,c100,0.96875,Debenedetti2022Light_XCiT_M12,
9,Debenedetti2022Light_XCiT_M12,c50,0.96875,Debenedetti2022Light_XCiT_M12,
10,Debenedetti2022Light_XCiT_M12,c30,0.8625,Debenedetti2022Light_XCiT_M12,
11,Debenedetti2022Light_XCiT_M12,c15,0.375,Debenedetti2022Light_XCiT_M12,
12,Debenedetti2022Light_XCiT_M12,c10,0.1375,Debenedetti2022Light_XCiT_M12,
13,Debenedetti2022Light_XCiT_M12,c05,0.06875,Debenedetti2022Light_XCiT_M12,
14,Debenedetti2022Light_XCiT_M12,c03,0.0625,Debenedetti2022Light_XCiT_M12,
15,Debenedetti2022Light_XCiT_M12,c01,0.0625,Debenedetti2022Light_XCiT_M12,
16,Debenedetti2022Light_XCiT_L12,c100,0.9875,Debenedetti2022Light_XCiT_L12,
17,Debenedetti2022Light_XCiT_L12,c50,0.98125,Debenedetti2022Light_XCiT_L12,
18,Debenedetti2022Light_XCiT_L12,c30,0.89375,Debenedetti2022Light_XCiT_L12,
19,Debenedetti2022Light_XCiT_L12,c15,0.30625,Debenedetti2022Light_XCiT_L12,
20,Debenedetti2022Light_XCiT_L12,c10,0.125,Debenedetti2022Light_XCiT_L12,
21,Debenedetti2022Light_XCiT_L12,c05,0.0625,Debenedetti2022Light_XCiT_L12,
22,Debenedetti2022Light_XCiT_L12,c03,0.0625,Debenedetti2022Light_XCiT_L12,
23,Debenedetti2022Light_XCiT_L12,c01,0.0625,Debenedetti2022Light_XCiT_L12,
24,xcit_small_12_p16_224,c100,0.975,xcit_small_12_p16_224,
25,xcit_small_12_p16_224,c50,1.0,xcit_small_12_p16_224,
26,xcit_small_12_p16_224,c30,0.98125,xcit_small_12_p16_224,
27,xcit_small_12_p16_224,c15,0.98125,xcit_small_12_p16_224,
28,xcit_small_12_p16_224,c10,0.99375,xcit_small_12_p16_224,
29,xcit_small_12_p16_224,c05,0.9875,xcit_small_12_p16_224,
30,xcit_small_12_p16_224,c03,0.98125,xcit_small_12_p16_224,
31,xcit_small_12_p16_224,c01,0.65,xcit_small_12_p16_224,
32,resnet18_l2_eps0,c100,0.9625,resnet18_l2_eps0,
33,resnet18_l2_eps0,c50,0.93125,resnet18_l2_eps0,
34,resnet18_l2_eps0,c30,0.86875,resnet18_l2_eps0,
35,resnet18_l2_eps0,c15,0.7625,resnet18_l2_eps0,
36,resnet18_l2_eps0,c10,0.6625,resnet18_l2_eps0,
37,resnet18_l2_eps0,c05,0.36875,resnet18_l2_eps0,
38,resnet18_l2_eps0,c03,0.23125,resnet18_l2_eps0,
39,resnet18_l2_eps0,c01,0.075,resnet18_l2_eps0,
40,resnet18_l2_eps0_01,c100,0.95625,resnet18_l2_eps0_01,
41,resnet18_l2_eps0_01,c50,0.93125,resnet18_l2_eps0_01,
42,resnet18_l2_eps0_01,c30,0.8625,resnet18_l2_eps0_01,
43,resnet18_l2_eps0_01,c15,0.675,resnet18_l2_eps0_01,
44,resnet18_l2_eps0_01,c10,0.525,resnet18_l2_eps0_01,
45,resnet18_l2_eps0_01,c05,0.25,resnet18_l2_eps0_01,
46,resnet18_l2_eps0_01,c03,0.1,resnet18_l2_eps0_01,
47,resnet18_l2_eps0_01,c01,0.075,resnet18_l2_eps0_01,
48,resnet18_l2_eps0_03,c100,0.94375,resnet18_l2_eps0_03,
49,resnet18_l2_eps0_03,c50,0.93125,resnet18_l2_eps0_03,
50,resnet18_l2_eps0_03,c30,0.875,resnet18_l2_eps0_03,
51,resnet18_l2_eps0_03,c15,0.625,resnet18_l2_eps0_03,
52,resnet18_l2_eps0_03,c10,0.51875,resnet18_l2_eps0_03,
53,resnet18_l2_eps0_03,c05,0.23125,resnet18_l2_eps0_03,
54,resnet18_l2_eps0_03,c03,0.06875,resnet18_l2_eps0_03,
55,resnet18_l2_eps0_03,c01,0.0625,resnet18_l2_eps0_03,
56,resnet18_l2_eps0_05,c100,0.93125,resnet18_l2_eps0_05,
57,resnet18_l2_eps0_05,c50,0.925,resnet18_l2_eps0_05,
