,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,c100,0.21193947269163127,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,c100,0.2505511787084412,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,c100,0.01064923268948671,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,c100,0.14689469512175907,xcit_small_12_p16_224,
4,resnet18_l2_eps0,c100,0.10245850447449417,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,c100,0.2703836743717737,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,c100,0.13145913363337325,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,c100,0.20633130512286985,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,c100,0.21823927164183438,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,c100,0.2578506410504901,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,c100,0.21746150570005385,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,c100,0.22084053511266322,resnet18_l2_eps1,
12,resnet18_l2_eps3,c100,0.3273137855192444,resnet18_l2_eps3,
13,resnet18_l2_eps5,c100,0.3456936274521548,resnet18_l2_eps5,
14,resnet50_l2_eps0,c100,0.07464993979446102,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,c100,0.15063514712585385,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,c100,0.21260035923304937,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,c100,0.11611295439180398,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,c100,0.14689469512175907,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,c100,0.0914633640451522,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,c100,0.10155960779192255,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,c100,0.21417115025307815,resnet50_l2_eps1,
22,resnet50_l2_eps3,c100,0.27112006575821834,resnet50_l2_eps3,
23,resnet50_l2_eps5,c100,0.34411532067782047,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,c100,0.14689469512175907,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,c100,0.14585847005424785,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,c100,0.17729015943209764,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,c100,0.14689469512175907,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,c100,0.14811295439180389,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,c100,0.11421495655966754,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,c100,0.12517594678640906,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,c100,0.14697440646204646,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,c100,0.2553383225339715,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,c100,0.3726582479001604,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,c100,0.16535847752545058,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,c100,0.18600782211324762,resnet18_linf_eps1,
36,resnet18_linf_eps2,c100,0.21013532689856468,resnet18_linf_eps2,
37,resnet18_linf_eps4,c100,0.3157497947136704,resnet18_linf_eps4,
38,resnet18_linf_eps8,c100,0.4099688337325727,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,c100,0.17708816411109832,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,c100,0.2554231652667892,resnet50_linf_eps1,
41,resnet50_linf_eps2,c100,0.23892073316786497,resnet50_linf_eps2,
42,resnet50_linf_eps4,c100,0.2404043749962842,resnet50_linf_eps4,
43,resnet50_linf_eps8,c100,0.35997722520968045,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,c100,0.14585847005424785,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,c100,0.15704687035932313,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,c100,0.2766301748965475,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,c100,0.25361218590217194,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,c100,0.42767524741206503,wide_resnet50_2_linf_eps8,
49,humans,c100,0.4361298594405424,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,c50,0.12722951410134598,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,c50,0.10557068720612425,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,c50,0.0646298215965164,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,c50,0.0,xcit_small_12_p16_224,
54,resnet18_l2_eps0,c50,0.1812821730507979,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,c50,0.2323687504721436,resnet18_l2_eps0_01,
56,resnet18_l2_eps0_03,c50,0.23491450209631176,resnet18_l2_eps0_03,
57,resnet18_l2_eps0_05,c50,0.22139334851518183,resnet18_l2_eps0_05,
58,resnet18_l2_eps0_1,c50,0.20834094915297363,resnet18_l2_eps0_1,
59,resnet18_l2_eps0_25,c50,0.25459402211695614,resnet18_l2_eps0_25,
60,resnet18_l2_eps0_5,c50,0.20624320006012606,resnet18_l2_eps0_5,
61,resnet18_l2_eps1,c50,0.23475731540082373,resnet18_l2_eps1,
62,resnet18_l2_eps3,c50,0.2507020496503645,resnet18_l2_eps3,
63,resnet18_l2_eps5,c50,0.2552109848892238,resnet18_l2_eps5,
64,resnet50_l2_eps0,c50,0.1719794377819397,resnet50_l2_eps0,
65,resnet50_l2_eps0_01,c50,0.18182305160021076,resnet50_l2_eps0_01,
66,resnet50_l2_eps0_03,c50,0.1193319076747539,resnet50_l2_eps0_03,
67,resnet50_l2_eps0_05,c50,0.18629879477936007,resnet50_l2_eps0_05,
68,resnet50_l2_eps0_1,c50,0.04833022636448883,resnet50_l2_eps0_1,
69,resnet50_l2_eps0_25,c50,0.14286801500217208,resnet50_l2_eps0_25,
70,resnet50_l2_eps0_5,c50,0.06130307853468027,resnet50_l2_eps0_5,
71,resnet50_l2_eps1,c50,0.23790305433723802,resnet50_l2_eps1,
72,resnet50_l2_eps3,c50,0.31326101790186656,resnet50_l2_eps3,
73,resnet50_l2_eps5,c50,0.2686263301473555,resnet50_l2_eps5,
74,wide_resnet50_2_l2_eps0,c50,0.10557068720612425,wide_resnet50_2_l2_eps0,
75,wide_resnet50_2_l2_eps0_01,c50,0.11117567189130037,wide_resnet50_2_l2_eps0_01,
76,wide_resnet50_2_l2_eps0_03,c50,0.11280990343083414,wide_resnet50_2_l2_eps0_03,
77,wide_resnet50_2_l2_eps0_05,c50,0.11452936817255818,wide_resnet50_2_l2_eps0_05,
78,wide_resnet50_2_l2_eps0_1,c50,0.12722951410134598,wide_resnet50_2_l2_eps0_1,
79,wide_resnet50_2_l2_eps0_25,c50,0.12722951410134598,wide_resnet50_2_l2_eps0_25,
80,wide_resnet50_2_l2_eps0_5,c50,0.24923148758934122,wide_resnet50_2_l2_eps0_5,
81,wide_resnet50_2_l2_eps1,c50,0.3030655468678324,wide_resnet50_2_l2_eps1,
82,wide_resnet50_2_l2_eps3,c50,0.2707164167193901,wide_resnet50_2_l2_eps3,
83,wide_resnet50_2_l2_eps5,c50,0.26110234605016536,wide_resnet50_2_l2_eps5,
84,resnet18_linf_eps0_5,c50,0.22622197570385918,resnet18_linf_eps0_5,
85,resnet18_linf_eps1,c50,0.26691807197387374,resnet18_linf_eps1,
86,resnet18_linf_eps2,c50,0.21651636174928948,resnet18_linf_eps2,
87,resnet18_linf_eps4,c50,0.25011467718936287,resnet18_linf_eps4,
88,resnet18_linf_eps8,c50,0.26142529211121174,resnet18_linf_eps8,
89,resnet50_linf_eps0_5,c50,0.1446295738006214,resnet50_linf_eps0_5,
90,resnet50_linf_eps1,c50,0.1775484396112046,resnet50_linf_eps1,
91,resnet50_linf_eps2,c50,0.18572182652163013,resnet50_linf_eps2,
92,resnet50_linf_eps4,c50,0.23501680012625698,resnet50_linf_eps4,
93,resnet50_linf_eps8,c50,0.23342975931977605,resnet50_linf_eps8,
94,wide_resnet50_2_linf_eps0_5,c50,0.09919695470974556,wide_resnet50_2_linf_eps0_5,
95,wide_resnet50_2_linf_eps1,c50,0.14089926434314404,wide_resnet50_2_linf_eps1,
96,wide_resnet50_2_linf_eps2,c50,0.12007437256785843,wide_resnet50_2_linf_eps2,
97,wide_resnet50_2_linf_eps4,c50,0.1872436474589836,wide_resnet50_2_linf_eps4,
98,wide_resnet50_2_linf_eps8,c50,0.24297970698551344,wide_resnet50_2_linf_eps8,
99,humans,c50,0.42337273086072896,subject-01_subject-02_subject-03_subject-04,
