,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,1-0-10,0.40771766787210234,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,1-0-10,0.4726064488254522,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,1-0-10,0.3600189348141177,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,1-0-10,0.377077482642754,xcit_small_12_p16_224,
4,resnet18_l2_eps0,1-0-10,0.4244261248803319,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,1-0-10,0.41460324460657016,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,1-0-10,0.3691015659101618,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,1-0-10,0.3995799542228604,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,1-0-10,0.41454980164719435,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,1-0-10,0.44498129639648926,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,1-0-10,0.36693861019196206,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,1-0-10,0.46348916920774685,resnet18_l2_eps1,
12,resnet18_l2_eps3,1-0-10,0.43201376237561173,resnet18_l2_eps3,
13,resnet18_l2_eps5,1-0-10,0.3242466190454232,resnet18_l2_eps5,
14,resnet50_l2_eps0,1-0-10,0.3619565217391304,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,1-0-10,0.33865210893438896,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,1-0-10,0.46470636799611476,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,1-0-10,0.43475182184921457,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,1-0-10,0.2978166733441353,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,1-0-10,0.3780387319328644,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,1-0-10,0.3917176678721022,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,1-0-10,0.312194818563402,resnet50_l2_eps1,
22,resnet50_l2_eps3,1-0-10,0.38849095453811683,resnet50_l2_eps3,
23,resnet50_l2_eps5,1-0-10,0.4333502988551129,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,1-0-10,0.44129928982373756,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,1-0-10,0.4498588497820125,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,1-0-10,0.4061128988701048,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,1-0-10,0.3528689835228811,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,1-0-10,0.4276408090584013,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,1-0-10,0.3297545380263018,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,1-0-10,0.4083359197209001,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,1-0-10,0.3369026190821431,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,1-0-10,0.32749094202898527,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,1-0-10,0.4404535129397916,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,1-0-10,0.45630473740852384,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,1-0-10,0.4283533666631209,resnet18_linf_eps1,
36,resnet18_linf_eps2,1-0-10,0.42807680057627073,resnet18_linf_eps2,
37,resnet18_linf_eps4,1-0-10,0.41883068190263584,resnet18_linf_eps4,
38,resnet18_linf_eps8,1-0-10,0.3344653217396906,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,1-0-10,0.390941957739316,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,1-0-10,0.44478322680981586,resnet50_linf_eps1,
41,resnet50_linf_eps2,1-0-10,0.3842956714734362,resnet50_linf_eps2,
42,resnet50_linf_eps4,1-0-10,0.44849068228963457,resnet50_linf_eps4,
43,resnet50_linf_eps8,1-0-10,0.4692300280535574,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,1-0-10,0.39732789855072453,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,1-0-10,0.3641612669933831,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,1-0-10,0.41494239635998864,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,1-0-10,0.38246139236748794,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,1-0-10,0.5106947038076974,wide_resnet50_2_linf_eps8,
49,humans,1-0-10,0.4714655990832952,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,2-0-10,0.3035409254830967,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,2-0-10,0.31388683365993875,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,2-0-10,0.2808696331164553,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,2-0-10,0.21277041059895327,xcit_small_12_p16_224,
54,resnet18_l2_eps0,2-0-10,0.2716980638051127,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,2-0-10,0.2868841484043232,resnet18_l2_eps0_01,
56,resnet18_l2_eps0_03,2-0-10,0.22657872441669566,resnet18_l2_eps0_03,
57,resnet18_l2_eps0_05,2-0-10,0.18067705407265178,resnet18_l2_eps0_05,
58,resnet18_l2_eps0_1,2-0-10,0.28502761262587273,resnet18_l2_eps0_1,
59,resnet18_l2_eps0_25,2-0-10,0.2803032827128543,resnet18_l2_eps0_25,
60,resnet18_l2_eps0_5,2-0-10,0.29197595111373936,resnet18_l2_eps0_5,
61,resnet18_l2_eps1,2-0-10,0.2881313356512172,resnet18_l2_eps1,
62,resnet18_l2_eps3,2-0-10,0.2950060339610041,resnet18_l2_eps3,
63,resnet18_l2_eps5,2-0-10,0.2495780130955046,resnet18_l2_eps5,
64,resnet50_l2_eps0,2-0-10,0.13546645405088745,resnet50_l2_eps0,
65,resnet50_l2_eps0_01,2-0-10,0.1933932067859007,resnet50_l2_eps0_01,
66,resnet50_l2_eps0_03,2-0-10,0.22089314075396205,resnet50_l2_eps0_03,
67,resnet50_l2_eps0_05,2-0-10,0.26512998647967745,resnet50_l2_eps0_05,
68,resnet50_l2_eps0_1,2-0-10,0.18491922969948396,resnet50_l2_eps0_1,
69,resnet50_l2_eps0_25,2-0-10,0.2635279768267182,resnet50_l2_eps0_25,
70,resnet50_l2_eps0_5,2-0-10,0.15006216900672587,resnet50_l2_eps0_5,
71,resnet50_l2_eps1,2-0-10,0.2919972809375446,resnet50_l2_eps1,
72,resnet50_l2_eps3,2-0-10,0.3033285612159656,resnet50_l2_eps3,
73,resnet50_l2_eps5,2-0-10,0.2902930304045942,resnet50_l2_eps5,
74,wide_resnet50_2_l2_eps0,2-0-10,0.20182330452147645,wide_resnet50_2_l2_eps0,
75,wide_resnet50_2_l2_eps0_01,2-0-10,0.23680061332333624,wide_resnet50_2_l2_eps0_01,
76,wide_resnet50_2_l2_eps0_03,2-0-10,0.21017972859433715,wide_resnet50_2_l2_eps0_03,
77,wide_resnet50_2_l2_eps0_05,2-0-10,0.2486933484047506,wide_resnet50_2_l2_eps0_05,
78,wide_resnet50_2_l2_eps0_1,2-0-10,0.2380137362561211,wide_resnet50_2_l2_eps0_1,
79,wide_resnet50_2_l2_eps0_25,2-0-10,0.09679916982165543,wide_resnet50_2_l2_eps0_25,
80,wide_resnet50_2_l2_eps0_5,2-0-10,0.13346441117699448,wide_resnet50_2_l2_eps0_5,
81,wide_resnet50_2_l2_eps1,2-0-10,0.22376881070213356,wide_resnet50_2_l2_eps1,
82,wide_resnet50_2_l2_eps3,2-0-10,0.32329586335035176,wide_resnet50_2_l2_eps3,
83,wide_resnet50_2_l2_eps5,2-0-10,0.31653700898519677,wide_resnet50_2_l2_eps5,
84,resnet18_linf_eps0_5,2-0-10,0.2380376802744793,resnet18_linf_eps0_5,
85,resnet18_linf_eps1,2-0-10,0.23257836298987788,resnet18_linf_eps1,
86,resnet18_linf_eps2,2-0-10,0.20830387322969124,resnet18_linf_eps2,
87,resnet18_linf_eps4,2-0-10,0.27062021630265365,resnet18_linf_eps4,
88,resnet18_linf_eps8,2-0-10,0.27764135940407964,resnet18_linf_eps8,
89,resnet50_linf_eps0_5,2-0-10,0.29960708630977206,resnet50_linf_eps0_5,
90,resnet50_linf_eps1,2-0-10,0.23758318350845908,resnet50_linf_eps1,
91,resnet50_linf_eps2,2-0-10,0.35181871310881757,resnet50_linf_eps2,
92,resnet50_linf_eps4,2-0-10,0.314841215584148,resnet50_linf_eps4,
93,resnet50_linf_eps8,2-0-10,0.33540527255090513,resnet50_linf_eps8,
94,wide_resnet50_2_linf_eps0_5,2-0-10,0.21128234284488434,wide_resnet50_2_linf_eps0_5,
95,wide_resnet50_2_linf_eps1,2-0-10,0.18853005296647965,wide_resnet50_2_linf_eps1,
