,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,1-3-10,0.3347294693520791,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,1-3-10,0.2793431560190717,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,1-3-10,0.316634875354245,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,1-3-10,0.08736730492521146,xcit_small_12_p16_224,
4,resnet18_l2_eps0,1-3-10,0.35005685136628667,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,1-3-10,0.33083858543417344,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,1-3-10,0.35316001400560204,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,1-3-10,0.3263897865146434,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,1-3-10,0.32872016752028194,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,1-3-10,0.33693001830456915,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,1-3-10,0.37265881485000396,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,1-3-10,0.41763920991190684,resnet18_l2_eps1,
12,resnet18_l2_eps3,1-3-10,0.31702088166626896,resnet18_l2_eps3,
13,resnet18_l2_eps5,1-3-10,0.2720550045363815,resnet18_l2_eps5,
14,resnet50_l2_eps0,1-3-10,0.30742296918767487,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,1-3-10,0.16269961095396124,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,1-3-10,0.24647803641308824,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,1-3-10,0.35258065917116266,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,1-3-10,0.30338943029504184,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,1-3-10,0.3153274694527605,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,1-3-10,0.30874367998401914,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,1-3-10,0.33083858543417344,resnet50_l2_eps1,
22,resnet50_l2_eps3,1-3-10,0.3730704757204102,resnet50_l2_eps3,
23,resnet50_l2_eps5,1-3-10,0.4103305976723697,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,1-3-10,0.10898841063496345,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,1-3-10,0.18978821530106632,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,1-3-10,0.23644911730955853,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,1-3-10,0.14535842846241634,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,1-3-10,0.12065141597052437,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,1-3-10,0.19570838454144254,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,1-3-10,0.3029496712953073,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,1-3-10,0.3272136402637801,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,1-3-10,0.4009226747603521,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,1-3-10,0.29257829458013807,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,1-3-10,0.350497016202713,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,1-3-10,0.3215282512928074,resnet18_linf_eps1,
36,resnet18_linf_eps2,1-3-10,0.33065807809514,resnet18_linf_eps2,
37,resnet18_linf_eps4,1-3-10,0.2902323763622942,resnet18_linf_eps4,
38,resnet18_linf_eps8,1-3-10,0.2765286019051993,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,1-3-10,0.2475740111801601,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,1-3-10,0.41791655536871347,resnet50_linf_eps1,
41,resnet50_linf_eps2,1-3-10,0.41517743456059925,resnet50_linf_eps2,
42,resnet50_linf_eps4,1-3-10,0.3875429611653291,resnet50_linf_eps4,
43,resnet50_linf_eps8,1-3-10,0.34334441594538767,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,1-3-10,0.2562458391290964,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,1-3-10,0.27873877280367454,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,1-3-10,0.28937986325302045,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,1-3-10,0.3466514828546373,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,1-3-10,0.25828300596497655,wide_resnet50_2_linf_eps8,
49,humans,1-3-10,0.40139073838403433,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,2-3-10,0.3235620049613964,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,2-3-10,0.3509808669312759,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,2-3-10,0.34165824348607365,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,2-3-10,0.21971270976044488,xcit_small_12_p16_224,
54,resnet18_l2_eps0,2-3-10,0.3836199406676024,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,2-3-10,0.26215953959858257,resnet18_l2_eps0_01,
56,resnet18_l2_eps0_03,2-3-10,0.34023435856060985,resnet18_l2_eps0_03,
57,resnet18_l2_eps0_05,2-3-10,0.28203904324187345,resnet18_l2_eps0_05,
58,resnet18_l2_eps0_1,2-3-10,0.36847574770168223,resnet18_l2_eps0_1,
