,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,1-10-10,0.23639611787738346,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,1-10-10,0.2287424845936772,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,1-10-10,0.23841299549115233,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,1-10-10,0.16723587008922908,xcit_small_12_p16_224,
4,resnet18_l2_eps0,1-10-10,0.25508147922943863,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,1-10-10,0.2654947213895196,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,1-10-10,0.24073195076564363,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,1-10-10,0.2360116975089264,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,1-10-10,0.2570219654000843,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,1-10-10,0.22464925538991382,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,1-10-10,0.33044841242600437,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,1-10-10,0.16975373080871145,resnet18_l2_eps1,
12,resnet18_l2_eps3,1-10-10,0.3832890987521974,resnet18_l2_eps3,
13,resnet18_l2_eps5,1-10-10,0.37452577293077005,resnet18_l2_eps5,
14,resnet50_l2_eps0,1-10-10,0.19025536700643608,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,1-10-10,0.26472623448736726,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,1-10-10,0.21866385514587197,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,1-10-10,0.2150561284447784,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,1-10-10,0.23720183664259137,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,1-10-10,0.2362135463615767,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,1-10-10,0.21890864675798713,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,1-10-10,0.19583198833295978,resnet50_l2_eps1,
22,resnet50_l2_eps3,1-10-10,0.32416897952248297,resnet50_l2_eps3,
23,resnet50_l2_eps5,1-10-10,0.33594082769071654,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,1-10-10,0.18342483454675343,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,1-10-10,0.1624628345599671,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,1-10-10,0.20112673117902494,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,1-10-10,0.22362034006497347,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,1-10-10,0.152973782628053,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,1-10-10,0.2549638259853979,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,1-10-10,0.13384548650861977,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,1-10-10,0.1980162305760863,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,1-10-10,0.2495603084945046,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,1-10-10,0.34525356825131914,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,1-10-10,0.25517986189137803,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,1-10-10,0.2925837289832227,resnet18_linf_eps1,
36,resnet18_linf_eps2,1-10-10,0.36712030500198456,resnet18_linf_eps2,
37,resnet18_linf_eps4,1-10-10,0.431281816436042,resnet18_linf_eps4,
38,resnet18_linf_eps8,1-10-10,0.419954648078952,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,1-10-10,0.2174342036385719,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,1-10-10,0.2985267656320288,resnet50_linf_eps1,
41,resnet50_linf_eps2,1-10-10,0.3126149379439078,resnet50_linf_eps2,
42,resnet50_linf_eps4,1-10-10,0.33260599794276735,resnet50_linf_eps4,
43,resnet50_linf_eps8,1-10-10,0.335024888955485,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,1-10-10,0.22323808190566236,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,1-10-10,0.2527710954413583,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,1-10-10,0.2505647316778844,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,1-10-10,0.3744597042018849,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,1-10-10,0.303710231228558,wide_resnet50_2_linf_eps8,
49,humans,1-10-10,0.4052738721721713,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,2-10-10,0.2570310744440507,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,2-10-10,0.29075139901855385,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,2-10-10,0.2114812953812411,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,2-10-10,0.20731268129774308,xcit_small_12_p16_224,
54,resnet18_l2_eps0,2-10-10,0.25646202677287183,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,2-10-10,0.22977997506329453,resnet18_l2_eps0_01,
56,resnet18_l2_eps0_03,2-10-10,0.23806710011998108,resnet18_l2_eps0_03,
57,resnet18_l2_eps0_05,2-10-10,0.2720781616110245,resnet18_l2_eps0_05,
