,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,True,0.22073523623306224,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,True,0.18497394402133718,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,True,0.05619228803183956,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,True,0.12957293530645345,xcit_small_12_p16_224,
4,resnet18_l2_eps0,True,0.19697911257925438,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,True,0.2119136196588329,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,True,0.2469273656835233,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,True,0.1889405273702512,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,True,0.2154896989861454,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,True,0.25761668343683236,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,True,0.245794891841045,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,True,0.21327430894181143,resnet18_l2_eps1,
12,resnet18_l2_eps3,True,0.3064891647074559,resnet18_l2_eps3,
13,resnet18_l2_eps5,True,0.29573891449683204,resnet18_l2_eps5,
14,resnet50_l2_eps0,True,0.17624031956718875,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,True,0.17284534004399416,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,True,0.11074940589468882,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,True,0.1646839782624855,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,True,0.18013726900821528,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,True,0.09685830622732923,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,True,0.17129888516983147,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,True,0.2783998092547393,resnet50_l2_eps1,
22,resnet50_l2_eps3,True,0.21828840171117597,resnet50_l2_eps3,
23,resnet50_l2_eps5,True,0.2491456405938595,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,True,0.10150848180227959,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,True,0.06391916591081959,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,True,0.055311115481518264,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,True,0.055311115481518264,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,True,0.029123977530769722,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,True,0.01925230921882503,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,True,0.0942451873794519,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,True,0.06474250069831328,wide_resnet50_2_l2_eps1,
