,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,inf,0.99375,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,3.0,0.56875,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_S12,1.5,0.4,Debenedetti2022Light_XCiT_S12,
3,Debenedetti2022Light_XCiT_S12,1.0,0.3625,Debenedetti2022Light_XCiT_S12,
4,Debenedetti2022Light_XCiT_S12,0.7,0.2625,Debenedetti2022Light_XCiT_S12,
5,Debenedetti2022Light_XCiT_S12,0.55,0.20625,Debenedetti2022Light_XCiT_S12,
6,Debenedetti2022Light_XCiT_S12,0.45,0.1,Debenedetti2022Light_XCiT_S12,
7,Debenedetti2022Light_XCiT_S12,0.4,0.0625,Debenedetti2022Light_XCiT_S12,
8,Debenedetti2022Light_XCiT_M12,inf,0.9875,Debenedetti2022Light_XCiT_M12,
9,Debenedetti2022Light_XCiT_M12,3.0,0.60625,Debenedetti2022Light_XCiT_M12,
10,Debenedetti2022Light_XCiT_M12,1.5,0.41875,Debenedetti2022Light_XCiT_M12,
11,Debenedetti2022Light_XCiT_M12,1.0,0.31875,Debenedetti2022Light_XCiT_M12,
12,Debenedetti2022Light_XCiT_M12,0.7,0.2375,Debenedetti2022Light_XCiT_M12,
13,Debenedetti2022Light_XCiT_M12,0.55,0.1875,Debenedetti2022Light_XCiT_M12,
14,Debenedetti2022Light_XCiT_M12,0.45,0.13125,Debenedetti2022Light_XCiT_M12,
15,Debenedetti2022Light_XCiT_M12,0.4,0.05625,Debenedetti2022Light_XCiT_M12,
16,Debenedetti2022Light_XCiT_L12,inf,0.98125,Debenedetti2022Light_XCiT_L12,
17,Debenedetti2022Light_XCiT_L12,3.0,0.725,Debenedetti2022Light_XCiT_L12,
18,Debenedetti2022Light_XCiT_L12,1.5,0.51875,Debenedetti2022Light_XCiT_L12,
19,Debenedetti2022Light_XCiT_L12,1.0,0.39375,Debenedetti2022Light_XCiT_L12,
20,Debenedetti2022Light_XCiT_L12,0.7,0.325,Debenedetti2022Light_XCiT_L12,
21,Debenedetti2022Light_XCiT_L12,0.55,0.23125,Debenedetti2022Light_XCiT_L12,
22,Debenedetti2022Light_XCiT_L12,0.45,0.11875,Debenedetti2022Light_XCiT_L12,
23,Debenedetti2022Light_XCiT_L12,0.4,0.0625,Debenedetti2022Light_XCiT_L12,
24,xcit_small_12_p16_224,inf,0.99375,xcit_small_12_p16_224,
25,xcit_small_12_p16_224,3.0,0.875,xcit_small_12_p16_224,
26,xcit_small_12_p16_224,1.5,0.775,xcit_small_12_p16_224,
27,xcit_small_12_p16_224,1.0,0.74375,xcit_small_12_p16_224,
28,xcit_small_12_p16_224,0.7,0.625,xcit_small_12_p16_224,
29,xcit_small_12_p16_224,0.55,0.61875,xcit_small_12_p16_224,
30,xcit_small_12_p16_224,0.45,0.51875,xcit_small_12_p16_224,
31,xcit_small_12_p16_224,0.4,0.4375,xcit_small_12_p16_224,
32,resnet18_l2_eps0,inf,0.9625,resnet18_l2_eps0,
33,resnet18_l2_eps0,3.0,0.6,resnet18_l2_eps0,
34,resnet18_l2_eps0,1.5,0.375,resnet18_l2_eps0,
35,resnet18_l2_eps0,1.0,0.25,resnet18_l2_eps0,
36,resnet18_l2_eps0,0.7,0.1375,resnet18_l2_eps0,
37,resnet18_l2_eps0,0.55,0.10625,resnet18_l2_eps0,
38,resnet18_l2_eps0,0.45,0.0875,resnet18_l2_eps0,
39,resnet18_l2_eps0,0.4,0.09375,resnet18_l2_eps0,
40,resnet18_l2_eps0_01,inf,0.98125,resnet18_l2_eps0_01,
41,resnet18_l2_eps0_01,3.0,0.55,resnet18_l2_eps0_01,
42,resnet18_l2_eps0_01,1.5,0.33125,resnet18_l2_eps0_01,
43,resnet18_l2_eps0_01,1.0,0.23125,resnet18_l2_eps0_01,
44,resnet18_l2_eps0_01,0.7,0.1375,resnet18_l2_eps0_01,
45,resnet18_l2_eps0_01,0.55,0.1375,resnet18_l2_eps0_01,
46,resnet18_l2_eps0_01,0.45,0.09375,resnet18_l2_eps0_01,
47,resnet18_l2_eps0_01,0.4,0.09375,resnet18_l2_eps0_01,
48,resnet18_l2_eps0_03,inf,0.975,resnet18_l2_eps0_03,
49,resnet18_l2_eps0_03,3.0,0.6125,resnet18_l2_eps0_03,
50,resnet18_l2_eps0_03,1.5,0.38125,resnet18_l2_eps0_03,
51,resnet18_l2_eps0_03,1.0,0.2875,resnet18_l2_eps0_03,
52,resnet18_l2_eps0_03,0.7,0.2,resnet18_l2_eps0_03,
53,resnet18_l2_eps0_03,0.55,0.15625,resnet18_l2_eps0_03,
54,resnet18_l2_eps0_03,0.45,0.1,resnet18_l2_eps0_03,
55,resnet18_l2_eps0_03,0.4,0.08125,resnet18_l2_eps0_03,
56,resnet18_l2_eps0_05,inf,0.95,resnet18_l2_eps0_05,
57,resnet18_l2_eps0_05,3.0,0.58125,resnet18_l2_eps0_05,
58,resnet18_l2_eps0_05,1.5,0.3125,resnet18_l2_eps0_05,
59,resnet18_l2_eps0_05,1.0,0.24375,resnet18_l2_eps0_05,
60,resnet18_l2_eps0_05,0.7,0.1,resnet18_l2_eps0_05,
61,resnet18_l2_eps0_05,0.55,0.08125,resnet18_l2_eps0_05,
62,resnet18_l2_eps0_05,0.45,0.05625,resnet18_l2_eps0_05,
63,resnet18_l2_eps0_05,0.4,0.04375,resnet18_l2_eps0_05,
64,resnet18_l2_eps0_1,inf,0.95625,resnet18_l2_eps0_1,
65,resnet18_l2_eps0_1,3.0,0.55625,resnet18_l2_eps0_1,
66,resnet18_l2_eps0_1,1.5,0.35,resnet18_l2_eps0_1,
67,resnet18_l2_eps0_1,1.0,0.2125,resnet18_l2_eps0_1,
68,resnet18_l2_eps0_1,0.7,0.13125,resnet18_l2_eps0_1,
69,resnet18_l2_eps0_1,0.55,0.1125,resnet18_l2_eps0_1,
70,resnet18_l2_eps0_1,0.45,0.13125,resnet18_l2_eps0_1,
71,resnet18_l2_eps0_1,0.4,0.09375,resnet18_l2_eps0_1,
72,resnet18_l2_eps0_25,inf,0.95625,resnet18_l2_eps0_25,
73,resnet18_l2_eps0_25,3.0,0.49375,resnet18_l2_eps0_25,
74,resnet18_l2_eps0_25,1.5,0.25,resnet18_l2_eps0_25,
75,resnet18_l2_eps0_25,1.0,0.225,resnet18_l2_eps0_25,
76,resnet18_l2_eps0_25,0.7,0.14375,resnet18_l2_eps0_25,
77,resnet18_l2_eps0_25,0.55,0.0875,resnet18_l2_eps0_25,
78,resnet18_l2_eps0_25,0.45,0.0875,resnet18_l2_eps0_25,
79,resnet18_l2_eps0_25,0.4,0.06875,resnet18_l2_eps0_25,
80,resnet18_l2_eps0_5,inf,0.9375,resnet18_l2_eps0_5,
81,resnet18_l2_eps0_5,3.0,0.44375,resnet18_l2_eps0_5,
82,resnet18_l2_eps0_5,1.5,0.2875,resnet18_l2_eps0_5,
83,resnet18_l2_eps0_5,1.0,0.21875,resnet18_l2_eps0_5,
84,resnet18_l2_eps0_5,0.7,0.125,resnet18_l2_eps0_5,
85,resnet18_l2_eps0_5,0.55,0.1125,resnet18_l2_eps0_5,
86,resnet18_l2_eps0_5,0.45,0.08125,resnet18_l2_eps0_5,
87,resnet18_l2_eps0_5,0.4,0.0625,resnet18_l2_eps0_5,
88,resnet18_l2_eps1,inf,0.925,resnet18_l2_eps1,
89,resnet18_l2_eps1,3.0,0.4375,resnet18_l2_eps1,
90,resnet18_l2_eps1,1.5,0.24375,resnet18_l2_eps1,
91,resnet18_l2_eps1,1.0,0.18125,resnet18_l2_eps1,
92,resnet18_l2_eps1,0.7,0.10625,resnet18_l2_eps1,
93,resnet18_l2_eps1,0.55,0.1125,resnet18_l2_eps1,
94,resnet18_l2_eps1,0.45,0.1,resnet18_l2_eps1,
95,resnet18_l2_eps1,0.4,0.0625,resnet18_l2_eps1,
96,resnet18_l2_eps3,inf,0.89375,resnet18_l2_eps3,
97,resnet18_l2_eps3,3.0,0.35,resnet18_l2_eps3,
98,resnet18_l2_eps3,1.5,0.21875,resnet18_l2_eps3,
99,resnet18_l2_eps3,1.0,0.15,resnet18_l2_eps3,
100,resnet18_l2_eps3,0.7,0.09375,resnet18_l2_eps3,
101,resnet18_l2_eps3,0.55,0.09375,resnet18_l2_eps3,
102,resnet18_l2_eps3,0.45,0.06875,resnet18_l2_eps3,
103,resnet18_l2_eps3,0.4,0.0625,resnet18_l2_eps3,
104,resnet18_l2_eps5,inf,0.84375,resnet18_l2_eps5,
105,resnet18_l2_eps5,3.0,0.33125,resnet18_l2_eps5,
106,resnet18_l2_eps5,1.5,0.2,resnet18_l2_eps5,
107,resnet18_l2_eps5,1.0,0.15,resnet18_l2_eps5,
108,resnet18_l2_eps5,0.7,0.1,resnet18_l2_eps5,
109,resnet18_l2_eps5,0.55,0.0625,resnet18_l2_eps5,
110,resnet18_l2_eps5,0.45,0.08125,resnet18_l2_eps5,
111,resnet18_l2_eps5,0.4,0.0625,resnet18_l2_eps5,
112,resnet50_l2_eps0,inf,0.99375,resnet50_l2_eps0,
113,resnet50_l2_eps0,3.0,0.7,resnet50_l2_eps0,
114,resnet50_l2_eps0,1.5,0.40625,resnet50_l2_eps0,
115,resnet50_l2_eps0,1.0,0.2375,resnet50_l2_eps0,
116,resnet50_l2_eps0,0.7,0.1,resnet50_l2_eps0,
117,resnet50_l2_eps0,0.55,0.1,resnet50_l2_eps0,
118,resnet50_l2_eps0,0.45,0.075,resnet50_l2_eps0,
119,resnet50_l2_eps0,0.4,0.08125,resnet50_l2_eps0,
120,resnet50_l2_eps0_01,inf,0.9875,resnet50_l2_eps0_01,
121,resnet50_l2_eps0_01,3.0,0.71875,resnet50_l2_eps0_01,
122,resnet50_l2_eps0_01,1.5,0.4625,resnet50_l2_eps0_01,
123,resnet50_l2_eps0_01,1.0,0.2625,resnet50_l2_eps0_01,
124,resnet50_l2_eps0_01,0.7,0.14375,resnet50_l2_eps0_01,
125,resnet50_l2_eps0_01,0.55,0.09375,resnet50_l2_eps0_01,
126,resnet50_l2_eps0_01,0.45,0.05625,resnet50_l2_eps0_01,
127,resnet50_l2_eps0_01,0.4,0.05625,resnet50_l2_eps0_01,
128,resnet50_l2_eps0_03,inf,1.0,resnet50_l2_eps0_03,
129,resnet50_l2_eps0_03,3.0,0.65,resnet50_l2_eps0_03,
130,resnet50_l2_eps0_03,1.5,0.31875,resnet50_l2_eps0_03,
131,resnet50_l2_eps0_03,1.0,0.20625,resnet50_l2_eps0_03,
132,resnet50_l2_eps0_03,0.7,0.13125,resnet50_l2_eps0_03,
133,resnet50_l2_eps0_03,0.55,0.125,resnet50_l2_eps0_03,
134,resnet50_l2_eps0_03,0.45,0.075,resnet50_l2_eps0_03,
135,resnet50_l2_eps0_03,0.4,0.04375,resnet50_l2_eps0_03,
136,resnet50_l2_eps0_05,inf,0.975,resnet50_l2_eps0_05,
137,resnet50_l2_eps0_05,3.0,0.63125,resnet50_l2_eps0_05,
138,resnet50_l2_eps0_05,1.5,0.33125,resnet50_l2_eps0_05,
139,resnet50_l2_eps0_05,1.0,0.1875,resnet50_l2_eps0_05,
140,resnet50_l2_eps0_05,0.7,0.125,resnet50_l2_eps0_05,
141,resnet50_l2_eps0_05,0.55,0.10625,resnet50_l2_eps0_05,
142,resnet50_l2_eps0_05,0.45,0.0875,resnet50_l2_eps0_05,
143,resnet50_l2_eps0_05,0.4,0.06875,resnet50_l2_eps0_05,
144,resnet50_l2_eps0_1,inf,0.9875,resnet50_l2_eps0_1,
145,resnet50_l2_eps0_1,3.0,0.56875,resnet50_l2_eps0_1,
146,resnet50_l2_eps0_1,1.5,0.30625,resnet50_l2_eps0_1,
147,resnet50_l2_eps0_1,1.0,0.125,resnet50_l2_eps0_1,
148,resnet50_l2_eps0_1,0.7,0.0875,resnet50_l2_eps0_1,
