,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,inf,0.10370399731706671,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,inf,0.13069073721431457,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,inf,0.1289402321557088,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,inf,0.033172938120806884,xcit_small_12_p16_224,
4,resnet18_l2_eps0,inf,0.17850330982841583,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,inf,0.14282116787287272,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,inf,0.06005504431057978,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,inf,0.1616066050261079,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,inf,0.16248519150426594,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,inf,0.1767590338225531,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,inf,0.2729856942950653,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,inf,0.21062138640263578,resnet18_l2_eps1,
12,resnet18_l2_eps3,inf,0.24914707515363438,resnet18_l2_eps3,
13,resnet18_l2_eps5,inf,0.3641848159751666,resnet18_l2_eps5,
14,resnet50_l2_eps0,inf,0.033172938120806884,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,inf,-0.022819464866466677,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,inf,0.0,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,inf,0.17200317038541849,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,inf,0.11563049625045921,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,inf,0.033172938120806884,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,inf,0.11414733274742482,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,inf,0.20438334321481832,resnet50_l2_eps1,
22,resnet50_l2_eps3,inf,0.29653286148793234,resnet50_l2_eps3,
23,resnet50_l2_eps5,inf,0.2947319037659124,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,inf,0.05714621737144364,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,inf,0.02873712646235259,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,inf,0.02064986700647988,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,inf,0.08722140534136838,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,inf,0.0,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,inf,0.08722140534136838,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,inf,0.033172938120806884,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,inf,0.0,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,inf,0.2896820146391596,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,inf,0.4407804865394148,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,inf,0.2111019466410149,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,inf,0.28943636081864754,resnet18_linf_eps1,
36,resnet18_linf_eps2,inf,0.29291219123842854,resnet18_linf_eps2,
37,resnet18_linf_eps4,inf,0.2830496607752583,resnet18_linf_eps4,
38,resnet18_linf_eps8,inf,0.2744986627076897,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,inf,0.11563049625045921,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,inf,0.07156182725631638,resnet50_linf_eps1,
41,resnet50_linf_eps2,inf,0.21658671518710199,resnet50_linf_eps2,
42,resnet50_linf_eps4,inf,0.2833749667510903,resnet50_linf_eps4,
43,resnet50_linf_eps8,inf,0.34334639954381097,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,inf,0.0,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,inf,0.035710107970335254,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,inf,0.13069073721431457,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,inf,0.3132146748239605,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,inf,0.3121995192307689,wide_resnet50_2_linf_eps8,
49,humans,inf,0.44061505946305574,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,3.0,0.26509099607821474,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,3.0,0.3553713866837181,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,3.0,0.36150304197775296,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,3.0,0.19546740133598264,xcit_small_12_p16_224,
54,resnet18_l2_eps0,3.0,0.18252798841554418,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,3.0,0.17716736653603157,resnet18_l2_eps0_01,
