,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.08445618314538961,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,0,0.09506049284561358,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,0,0.034278374533892556,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,0,0.16031411287156466,xcit_small_12_p16_224,
4,resnet18_l2_eps0,0,0.13122038932226432,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,0,0.18292921020799788,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,0,0.04430614652674499,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,0,0.1679178012044384,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,0,0.11159737190423172,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,0,0.05425264630449457,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,0,0.2846995018489914,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,0,0.13503420559509924,resnet18_l2_eps1,
12,resnet18_l2_eps3,0,0.2340540767670985,resnet18_l2_eps3,
13,resnet18_l2_eps5,0,0.2741815060670872,resnet18_l2_eps5,
14,resnet50_l2_eps0,0,0.11932782343710768,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,0,0.05023837309868222,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,0,0.17682088703100005,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,0,0.25103379432732603,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,0,-0.021994771922246747,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,0,0.024196706432015675,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,0,0.04737830566130262,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,0,0.05205248760260168,resnet50_l2_eps1,
22,resnet50_l2_eps3,0,0.18509422799165243,resnet50_l2_eps3,
23,resnet50_l2_eps5,0,0.22660154611594213,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,0,-0.021994771922246747,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,0,0.053562610759590984,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,0,0.009954109866890527,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,0,0.03283821211793472,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,0,0.015636296974114883,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,0,0.03601331273151233,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,0,0.02133663899463584,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,0,0.04737830566130262,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,0,0.15369229943462379,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,0,0.23864394177663703,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,0,0.0646963447605436,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,0,0.2755888742259789,resnet18_linf_eps1,
36,resnet18_linf_eps2,0,0.2147743101130406,resnet18_linf_eps2,
