,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.96875,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,30,0.96875,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_S12,60,0.9375,Debenedetti2022Light_XCiT_S12,
3,Debenedetti2022Light_XCiT_S12,90,0.7,Debenedetti2022Light_XCiT_S12,
4,Debenedetti2022Light_XCiT_S12,120,0.225,Debenedetti2022Light_XCiT_S12,
5,Debenedetti2022Light_XCiT_S12,150,0.0875,Debenedetti2022Light_XCiT_S12,
6,Debenedetti2022Light_XCiT_S12,180,0.075,Debenedetti2022Light_XCiT_S12,
7,Debenedetti2022Light_XCiT_M12,0,0.9875,Debenedetti2022Light_XCiT_M12,
8,Debenedetti2022Light_XCiT_M12,30,0.975,Debenedetti2022Light_XCiT_M12,
9,Debenedetti2022Light_XCiT_M12,60,0.95,Debenedetti2022Light_XCiT_M12,
10,Debenedetti2022Light_XCiT_M12,90,0.7,Debenedetti2022Light_XCiT_M12,
11,Debenedetti2022Light_XCiT_M12,120,0.24375,Debenedetti2022Light_XCiT_M12,
12,Debenedetti2022Light_XCiT_M12,150,0.10625,Debenedetti2022Light_XCiT_M12,
13,Debenedetti2022Light_XCiT_M12,180,0.06875,Debenedetti2022Light_XCiT_M12,
14,Debenedetti2022Light_XCiT_L12,0,0.98125,Debenedetti2022Light_XCiT_L12,
15,Debenedetti2022Light_XCiT_L12,30,0.9875,Debenedetti2022Light_XCiT_L12,
16,Debenedetti2022Light_XCiT_L12,60,0.94375,Debenedetti2022Light_XCiT_L12,
17,Debenedetti2022Light_XCiT_L12,90,0.73125,Debenedetti2022Light_XCiT_L12,
18,Debenedetti2022Light_XCiT_L12,120,0.25,Debenedetti2022Light_XCiT_L12,
19,Debenedetti2022Light_XCiT_L12,150,0.10625,Debenedetti2022Light_XCiT_L12,
20,Debenedetti2022Light_XCiT_L12,180,0.075,Debenedetti2022Light_XCiT_L12,
21,xcit_small_12_p16_224,0,0.96875,xcit_small_12_p16_224,
22,xcit_small_12_p16_224,30,0.99375,xcit_small_12_p16_224,
23,xcit_small_12_p16_224,60,0.91875,xcit_small_12_p16_224,
24,xcit_small_12_p16_224,90,0.85625,xcit_small_12_p16_224,
25,xcit_small_12_p16_224,120,0.48125,xcit_small_12_p16_224,
26,xcit_small_12_p16_224,150,0.0625,xcit_small_12_p16_224,
27,xcit_small_12_p16_224,180,0.06875,xcit_small_12_p16_224,
