,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.2444549792023488,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,0,0.14488604740163075,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,0,0.1264612711675227,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,0,0.31956508441399545,xcit_small_12_p16_224,
4,resnet18_l2_eps0,0,0.34883030014939564,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,0,0.269771902312134,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,0,0.2976736260413074,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,0,0.3270310598157986,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,0,0.25452913205070415,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,0,0.3086292951242702,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,0,0.3142303447474584,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,0,0.37108668540317424,resnet18_l2_eps1,
12,resnet18_l2_eps3,0,0.325849963749881,resnet18_l2_eps3,
13,resnet18_l2_eps5,0,0.312656738185213,resnet18_l2_eps5,
14,resnet50_l2_eps0,0,0.2589472858711306,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,0,0.30862929512427,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,0,0.17856305286147578,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,0,0.3472044960351426,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,0,0.2091711005044436,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,0,0.24568448739907006,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,0,0.3009081997388464,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,0,0.37045192177101716,resnet50_l2_eps1,
22,resnet50_l2_eps3,0,0.35051472406314754,resnet50_l2_eps3,
23,resnet50_l2_eps5,0,0.3024036649530385,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,0,0.3303046035102216,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,0,0.28065761723265237,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,0,0.34599932051866533,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,0,0.1551351062929708,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,0,0.14655214446246467,wide_resnet50_2_l2_eps0_1,
