,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.9714285714285714,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,pow,0.8214285714285714,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_M12,0,0.9625,Debenedetti2022Light_XCiT_M12,
3,Debenedetti2022Light_XCiT_M12,pow,0.8142857142857143,Debenedetti2022Light_XCiT_M12,
4,Debenedetti2022Light_XCiT_L12,0,0.9839285714285714,Debenedetti2022Light_XCiT_L12,
5,Debenedetti2022Light_XCiT_L12,pow,0.8410714285714286,Debenedetti2022Light_XCiT_L12,
6,xcit_small_12_p16_224,0,0.9875,xcit_small_12_p16_224,
7,xcit_small_12_p16_224,pow,0.9107142857142857,xcit_small_12_p16_224,
8,resnet18_l2_eps0,0,0.9428571428571428,resnet18_l2_eps0,
9,resnet18_l2_eps0,pow,0.6125,resnet18_l2_eps0,
10,resnet18_l2_eps0_01,0,0.9446428571428571,resnet18_l2_eps0_01,
11,resnet18_l2_eps0_01,pow,0.6535714285714286,resnet18_l2_eps0_01,
12,resnet18_l2_eps0_03,0,0.9464285714285714,resnet18_l2_eps0_03,
13,resnet18_l2_eps0_03,pow,0.6517857142857143,resnet18_l2_eps0_03,
14,resnet18_l2_eps0_05,0,0.9428571428571428,resnet18_l2_eps0_05,
15,resnet18_l2_eps0_05,pow,0.6446428571428572,resnet18_l2_eps0_05,
16,resnet18_l2_eps0_1,0,0.9392857142857143,resnet18_l2_eps0_1,
17,resnet18_l2_eps0_1,pow,0.6,resnet18_l2_eps0_1,
18,resnet18_l2_eps0_25,0,0.9410714285714286,resnet18_l2_eps0_25,
19,resnet18_l2_eps0_25,pow,0.6410714285714286,resnet18_l2_eps0_25,
20,resnet18_l2_eps0_5,0,0.9375,resnet18_l2_eps0_5,
21,resnet18_l2_eps0_5,pow,0.6339285714285714,resnet18_l2_eps0_5,
22,resnet18_l2_eps1,0,0.9107142857142857,resnet18_l2_eps1,
23,resnet18_l2_eps1,pow,0.5839285714285715,resnet18_l2_eps1,
24,resnet18_l2_eps3,0,0.8553571428571428,resnet18_l2_eps3,
25,resnet18_l2_eps3,pow,0.5196428571428572,resnet18_l2_eps3,
26,resnet18_l2_eps5,0,0.8107142857142857,resnet18_l2_eps5,
27,resnet18_l2_eps5,pow,0.5125,resnet18_l2_eps5,
28,resnet50_l2_eps0,0,0.9660714285714286,resnet50_l2_eps0,
29,resnet50_l2_eps0,pow,0.7071428571428572,resnet50_l2_eps0,
30,resnet50_l2_eps0_01,0,0.9714285714285714,resnet50_l2_eps0_01,
31,resnet50_l2_eps0_01,pow,0.7267857142857143,resnet50_l2_eps0_01,
32,resnet50_l2_eps0_03,0,0.9732142857142857,resnet50_l2_eps0_03,
33,resnet50_l2_eps0_03,pow,0.7285714285714285,resnet50_l2_eps0_03,
34,resnet50_l2_eps0_05,0,0.9660714285714286,resnet50_l2_eps0_05,
35,resnet50_l2_eps0_05,pow,0.7446428571428572,resnet50_l2_eps0_05,
36,resnet50_l2_eps0_1,0,0.9732142857142857,resnet50_l2_eps0_1,
37,resnet50_l2_eps0_1,pow,0.7178571428571429,resnet50_l2_eps0_1,
38,resnet50_l2_eps0_25,0,0.9642857142857143,resnet50_l2_eps0_25,
39,resnet50_l2_eps0_25,pow,0.7267857142857143,resnet50_l2_eps0_25,
40,resnet50_l2_eps0_5,0,0.9696428571428571,resnet50_l2_eps0_5,
41,resnet50_l2_eps0_5,pow,0.7178571428571429,resnet50_l2_eps0_5,
42,resnet50_l2_eps1,0,0.9571428571428572,resnet50_l2_eps1,
