,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.2002543961647043,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,0,0.23759982391814571,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,0,0.11419500098177017,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,0,0.10852586711943019,xcit_small_12_p16_224,
4,resnet18_l2_eps0,0,0.27161273333269886,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,0,0.3141912104463159,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,0,0.2766413423584929,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,0,0.258719481110943,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,0,0.3158191453095139,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,0,0.24845204869867973,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,0,0.22006007211746828,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,0,0.32933587728040037,resnet18_l2_eps1,
12,resnet18_l2_eps3,0,0.3134864950774189,resnet18_l2_eps3,
13,resnet18_l2_eps5,0,0.254787527583077,resnet18_l2_eps5,
14,resnet50_l2_eps0,0,0.1645742017248577,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,0,0.14285663589968597,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,0,0.18461224165201942,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,0,0.18585282200269654,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,0,0.19143076071453505,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,0,0.20175165385899216,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,0,0.22501676209580185,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,0,0.23535387843196143,resnet50_l2_eps1,
22,resnet50_l2_eps3,0,0.28758259896094174,resnet50_l2_eps3,
23,resnet50_l2_eps5,0,0.2593172025005727,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,0,0.15321203063418654,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,0,0.10889803938078606,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,0,0.09877268350139579,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,0,0.16991072477792737,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,0,0.1471544806346747,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,0,0.1116788753220572,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,0,0.13139488100751617,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,0,0.17180539233449368,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,0,0.28927720048862904,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,0,0.2795910960525203,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,0,0.2266786918781094,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,0,0.33743962650230797,resnet18_linf_eps1,
36,resnet18_linf_eps2,0,0.34586211927174415,resnet18_linf_eps2,
37,resnet18_linf_eps4,0,0.3240056511337575,resnet18_linf_eps4,
38,resnet18_linf_eps8,0,0.28359916465473967,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,0,0.20305762194212434,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,0,0.23515565527122784,resnet50_linf_eps1,
41,resnet50_linf_eps2,0,0.23993521867258488,resnet50_linf_eps2,
42,resnet50_linf_eps4,0,0.3078840666314799,resnet50_linf_eps4,
43,resnet50_linf_eps8,0,0.3490680431282657,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,0,0.1744708896385762,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,0,0.1592945558684527,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,0,0.20843528219015023,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,0,0.24800200810488932,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,0,0.3325863260722466,wide_resnet50_2_linf_eps8,
49,humans,0,0.4506232991484252,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,pow,0.2777959660457887,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,pow,0.3336307054922395,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,pow,0.2896932976675595,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,pow,0.18614566503148539,xcit_small_12_p16_224,
