,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.959375,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_S12,90,0.58125,Debenedetti2022Light_XCiT_S12,
2,Debenedetti2022Light_XCiT_S12,180,0.70625,Debenedetti2022Light_XCiT_S12,
3,Debenedetti2022Light_XCiT_S12,270,0.58125,Debenedetti2022Light_XCiT_S12,
4,Debenedetti2022Light_XCiT_M12,0,0.965625,Debenedetti2022Light_XCiT_M12,
5,Debenedetti2022Light_XCiT_M12,90,0.59375,Debenedetti2022Light_XCiT_M12,
6,Debenedetti2022Light_XCiT_M12,180,0.678125,Debenedetti2022Light_XCiT_M12,
7,Debenedetti2022Light_XCiT_M12,270,0.596875,Debenedetti2022Light_XCiT_M12,
8,Debenedetti2022Light_XCiT_L12,0,0.978125,Debenedetti2022Light_XCiT_L12,
9,Debenedetti2022Light_XCiT_L12,90,0.609375,Debenedetti2022Light_XCiT_L12,
10,Debenedetti2022Light_XCiT_L12,180,0.671875,Debenedetti2022Light_XCiT_L12,
11,Debenedetti2022Light_XCiT_L12,270,0.565625,Debenedetti2022Light_XCiT_L12,
12,xcit_small_12_p16_224,0,0.978125,xcit_small_12_p16_224,
13,xcit_small_12_p16_224,90,0.725,xcit_small_12_p16_224,
14,xcit_small_12_p16_224,180,0.85625,xcit_small_12_p16_224,
15,xcit_small_12_p16_224,270,0.696875,xcit_small_12_p16_224,
16,resnet18_l2_eps0,0,0.94375,resnet18_l2_eps0,
17,resnet18_l2_eps0,90,0.578125,resnet18_l2_eps0,
18,resnet18_l2_eps0,180,0.684375,resnet18_l2_eps0,
19,resnet18_l2_eps0,270,0.528125,resnet18_l2_eps0,
20,resnet18_l2_eps0_01,0,0.9375,resnet18_l2_eps0_01,
21,resnet18_l2_eps0_01,90,0.615625,resnet18_l2_eps0_01,
22,resnet18_l2_eps0_01,180,0.69375,resnet18_l2_eps0_01,
23,resnet18_l2_eps0_01,270,0.584375,resnet18_l2_eps0_01,
24,resnet18_l2_eps0_03,0,0.94375,resnet18_l2_eps0_03,
25,resnet18_l2_eps0_03,90,0.625,resnet18_l2_eps0_03,
26,resnet18_l2_eps0_03,180,0.734375,resnet18_l2_eps0_03,
27,resnet18_l2_eps0_03,270,0.565625,resnet18_l2_eps0_03,
28,resnet18_l2_eps0_05,0,0.934375,resnet18_l2_eps0_05,
29,resnet18_l2_eps0_05,90,0.565625,resnet18_l2_eps0_05,
30,resnet18_l2_eps0_05,180,0.671875,resnet18_l2_eps0_05,
31,resnet18_l2_eps0_05,270,0.5625,resnet18_l2_eps0_05,
32,resnet18_l2_eps0_1,0,0.9375,resnet18_l2_eps0_1,
33,resnet18_l2_eps0_1,90,0.584375,resnet18_l2_eps0_1,
34,resnet18_l2_eps0_1,180,0.65625,resnet18_l2_eps0_1,
35,resnet18_l2_eps0_1,270,0.534375,resnet18_l2_eps0_1,
36,resnet18_l2_eps0_25,0,0.94375,resnet18_l2_eps0_25,
37,resnet18_l2_eps0_25,90,0.553125,resnet18_l2_eps0_25,
38,resnet18_l2_eps0_25,180,0.6375,resnet18_l2_eps0_25,
39,resnet18_l2_eps0_25,270,0.53125,resnet18_l2_eps0_25,
40,resnet18_l2_eps0_5,0,0.921875,resnet18_l2_eps0_5,
41,resnet18_l2_eps0_5,90,0.525,resnet18_l2_eps0_5,
42,resnet18_l2_eps0_5,180,0.65,resnet18_l2_eps0_5,
43,resnet18_l2_eps0_5,270,0.5,resnet18_l2_eps0_5,
44,resnet18_l2_eps1,0,0.896875,resnet18_l2_eps1,
45,resnet18_l2_eps1,90,0.503125,resnet18_l2_eps1,
46,resnet18_l2_eps1,180,0.628125,resnet18_l2_eps1,
47,resnet18_l2_eps1,270,0.509375,resnet18_l2_eps1,
48,resnet18_l2_eps3,0,0.828125,resnet18_l2_eps3,
49,resnet18_l2_eps3,90,0.41875,resnet18_l2_eps3,
50,resnet18_l2_eps3,180,0.55,resnet18_l2_eps3,
51,resnet18_l2_eps3,270,0.4125,resnet18_l2_eps3,
52,resnet18_l2_eps5,0,0.784375,resnet18_l2_eps5,
53,resnet18_l2_eps5,90,0.365625,resnet18_l2_eps5,
54,resnet18_l2_eps5,180,0.49375,resnet18_l2_eps5,
55,resnet18_l2_eps5,270,0.359375,resnet18_l2_eps5,
56,resnet50_l2_eps0,0,0.9625,resnet50_l2_eps0,
57,resnet50_l2_eps0,90,0.659375,resnet50_l2_eps0,
58,resnet50_l2_eps0,180,0.703125,resnet50_l2_eps0,
59,resnet50_l2_eps0,270,0.63125,resnet50_l2_eps0,
60,resnet50_l2_eps0_01,0,0.95,resnet50_l2_eps0_01,
61,resnet50_l2_eps0_01,90,0.659375,resnet50_l2_eps0_01,
62,resnet50_l2_eps0_01,180,0.740625,resnet50_l2_eps0_01,
63,resnet50_l2_eps0_01,270,0.63125,resnet50_l2_eps0_01,
64,resnet50_l2_eps0_03,0,0.96875,resnet50_l2_eps0_03,
65,resnet50_l2_eps0_03,90,0.68125,resnet50_l2_eps0_03,
66,resnet50_l2_eps0_03,180,0.74375,resnet50_l2_eps0_03,
67,resnet50_l2_eps0_03,270,0.615625,resnet50_l2_eps0_03,
68,resnet50_l2_eps0_05,0,0.959375,resnet50_l2_eps0_05,
69,resnet50_l2_eps0_05,90,0.6625,resnet50_l2_eps0_05,
