,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0,0.2870069525024107,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,0,0.2637448233333282,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,0,0.1948677646734885,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,0,0.1460173278930577,xcit_small_12_p16_224,
4,resnet18_l2_eps0,0,0.2154290693462848,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,0,0.3760130480048103,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,0,0.23487827017173996,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,0,0.26985525963231616,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,0,0.25692662627055096,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,0,0.28414310736442994,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,0,0.3281552856159328,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,0,0.332013012811312,resnet18_l2_eps1,
12,resnet18_l2_eps3,0,0.30638866784347035,resnet18_l2_eps3,
13,resnet18_l2_eps5,0,0.23457539065201893,resnet18_l2_eps5,
14,resnet50_l2_eps0,0,0.1418940305477941,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,0,0.21908635353100028,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,0,0.19202910668685427,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,0,0.2796759937609953,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,0,0.18771889182374193,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,0,0.26287787136770374,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,0,0.25756915093990135,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,0,0.3469720595538075,resnet50_l2_eps1,
22,resnet50_l2_eps3,0,0.36621057843920685,resnet50_l2_eps3,
23,resnet50_l2_eps5,0,0.27028184098995867,resnet50_l2_eps5,
24,wide_resnet50_2_l2_eps0,0,0.16690489641880554,wide_resnet50_2_l2_eps0,
25,wide_resnet50_2_l2_eps0_01,0,0.22702296008608025,wide_resnet50_2_l2_eps0_01,
26,wide_resnet50_2_l2_eps0_03,0,0.14203094683897372,wide_resnet50_2_l2_eps0_03,
27,wide_resnet50_2_l2_eps0_05,0,0.14499704561496077,wide_resnet50_2_l2_eps0_05,
28,wide_resnet50_2_l2_eps0_1,0,0.2054306195194196,wide_resnet50_2_l2_eps0_1,
29,wide_resnet50_2_l2_eps0_25,0,0.17072775260348258,wide_resnet50_2_l2_eps0_25,
30,wide_resnet50_2_l2_eps0_5,0,0.2522999751930104,wide_resnet50_2_l2_eps0_5,
31,wide_resnet50_2_l2_eps1,0,0.2706796364223448,wide_resnet50_2_l2_eps1,
32,wide_resnet50_2_l2_eps3,0,0.2994757985727707,wide_resnet50_2_l2_eps3,
33,wide_resnet50_2_l2_eps5,0,0.3014499435594731,wide_resnet50_2_l2_eps5,
34,resnet18_linf_eps0_5,0,0.26677587802324326,resnet18_linf_eps0_5,
35,resnet18_linf_eps1,0,0.29497729871953804,resnet18_linf_eps1,
36,resnet18_linf_eps2,0,0.31132666352406835,resnet18_linf_eps2,
37,resnet18_linf_eps4,0,0.24524973987721066,resnet18_linf_eps4,
38,resnet18_linf_eps8,0,0.22575139026360902,resnet18_linf_eps8,
39,resnet50_linf_eps0_5,0,0.2615906439572878,resnet50_linf_eps0_5,
40,resnet50_linf_eps1,0,0.3373112819457298,resnet50_linf_eps1,
41,resnet50_linf_eps2,0,0.25754445504371953,resnet50_linf_eps2,
42,resnet50_linf_eps4,0,0.3472403661268081,resnet50_linf_eps4,
43,resnet50_linf_eps8,0,0.26469526860259196,resnet50_linf_eps8,
44,wide_resnet50_2_linf_eps0_5,0,0.1749218937833266,wide_resnet50_2_linf_eps0_5,
45,wide_resnet50_2_linf_eps1,0,0.2200208383727193,wide_resnet50_2_linf_eps1,
46,wide_resnet50_2_linf_eps2,0,0.22835306382716083,wide_resnet50_2_linf_eps2,
47,wide_resnet50_2_linf_eps4,0,0.3470259570022,wide_resnet50_2_linf_eps4,
48,wide_resnet50_2_linf_eps8,0,0.2696139091375425,wide_resnet50_2_linf_eps8,
49,humans,0,0.4318403346853151,subject-01_subject-02_subject-03_subject-04,
50,Debenedetti2022Light_XCiT_S12,90,0.14043223094188287,Debenedetti2022Light_XCiT_S12,
51,Debenedetti2022Light_XCiT_M12,90,0.12358934661930596,Debenedetti2022Light_XCiT_M12,
52,Debenedetti2022Light_XCiT_L12,90,0.13849424605617922,Debenedetti2022Light_XCiT_L12,
53,xcit_small_12_p16_224,90,0.12774118963737632,xcit_small_12_p16_224,
54,resnet18_l2_eps0,90,0.14474184884271707,resnet18_l2_eps0,
55,resnet18_l2_eps0_01,90,0.08513593010979731,resnet18_l2_eps0_01,
56,resnet18_l2_eps0_03,90,0.10138152230433464,resnet18_l2_eps0_03,
57,resnet18_l2_eps0_05,90,0.10588129251804294,resnet18_l2_eps0_05,
58,resnet18_l2_eps0_1,90,0.08701902443717494,resnet18_l2_eps0_1,
59,resnet18_l2_eps0_25,90,0.08866067915217227,resnet18_l2_eps0_25,
60,resnet18_l2_eps0_5,90,0.06981878556237518,resnet18_l2_eps0_5,
61,resnet18_l2_eps1,90,0.14164710862403268,resnet18_l2_eps1,
62,resnet18_l2_eps3,90,0.1014018863279543,resnet18_l2_eps3,
63,resnet18_l2_eps5,90,0.11966317493551676,resnet18_l2_eps5,
64,resnet50_l2_eps0,90,0.09927385565251676,resnet50_l2_eps0,
65,resnet50_l2_eps0_01,90,0.1034591798916679,resnet50_l2_eps0_01,
66,resnet50_l2_eps0_03,90,0.08848548966274117,resnet50_l2_eps0_03,
67,resnet50_l2_eps0_05,90,0.16210722332852456,resnet50_l2_eps0_05,
68,resnet50_l2_eps0_1,90,0.1289434557758498,resnet50_l2_eps0_1,
69,resnet50_l2_eps0_25,90,0.16070443795371014,resnet50_l2_eps0_25,
