,subj,condition,yvalue,decision-maker-ID,colour
0,Debenedetti2022Light_XCiT_S12,0.0,0.3883772720367165,Debenedetti2022Light_XCiT_S12,
1,Debenedetti2022Light_XCiT_M12,0.0,0.18781444486581433,Debenedetti2022Light_XCiT_M12,
2,Debenedetti2022Light_XCiT_L12,0.0,0.2723467154233701,Debenedetti2022Light_XCiT_L12,
3,xcit_small_12_p16_224,0.0,0.01923872022260678,xcit_small_12_p16_224,
4,resnet18_l2_eps0,0.0,0.32916722391082653,resnet18_l2_eps0,
5,resnet18_l2_eps0_01,0.0,0.3017399051427117,resnet18_l2_eps0_01,
6,resnet18_l2_eps0_03,0.0,0.3411584806278852,resnet18_l2_eps0_03,
7,resnet18_l2_eps0_05,0.0,0.3663872660841328,resnet18_l2_eps0_05,
8,resnet18_l2_eps0_1,0.0,0.37352670320897535,resnet18_l2_eps0_1,
9,resnet18_l2_eps0_25,0.0,0.34379051431456886,resnet18_l2_eps0_25,
10,resnet18_l2_eps0_5,0.0,0.31918411884426995,resnet18_l2_eps0_5,
11,resnet18_l2_eps1,0.0,0.3218517106413112,resnet18_l2_eps1,
12,resnet18_l2_eps3,0.0,0.19848781337934726,resnet18_l2_eps3,
13,resnet18_l2_eps5,0.0,0.14581986917046036,resnet18_l2_eps5,
14,resnet50_l2_eps0,0.0,0.21188848734315568,resnet50_l2_eps0,
15,resnet50_l2_eps0_01,0.0,0.33323413478744823,resnet50_l2_eps0_01,
16,resnet50_l2_eps0_03,0.0,0.2376108607828924,resnet50_l2_eps0_03,
17,resnet50_l2_eps0_05,0.0,0.37681690287879294,resnet50_l2_eps0_05,
18,resnet50_l2_eps0_1,0.0,0.3233509393010796,resnet50_l2_eps0_1,
19,resnet50_l2_eps0_25,0.0,0.2369782899636689,resnet50_l2_eps0_25,
20,resnet50_l2_eps0_5,0.0,0.39049172972741697,resnet50_l2_eps0_5,
21,resnet50_l2_eps1,0.0,0.37343042356857514,resnet50_l2_eps1,
22,resnet50_l2_eps3,0.0,0.24382011513106783,resnet50_l2_eps3,
23,resnet50_l2_eps5,0.0,0.19241391732805857,resnet50_l2_eps5,
